id, internship_name, company, stipend, posted, link, applied_date, call_back
2205982,Backend Development,Global Groupware Solutions Limited,"25,000-35,000 /month",Few hours ago,internshala,2023-06-14,

2205499,Mobile App Development (Flutter),Cartel101,"₹ 8,000-10,000 /month",1 day ago,internshala,2023-06-15,
2205286,C++ Development (QT Creator),IIT Bombay,"₹ 1,000-2,000 /month",1 day ago,internshala,2023-06-15,
2206374,Data Science,Blackcoffer,"₹ 6,000-12,000 /month",Few hours ago,internshala,2023-06-15,
2202927,Backend Development,ContractSPAN,"₹ 10,000 /month",Just now,internshala,2023-06-15,
2207575,Software Development,Taaz ITSolutions,"₹ 8,000-12,000 /month",Few hours ago,internshala,2023-06-16,
2205443,Clinical Data Scientist,MiiCare,"₹ 20,000 /month",Few hours ago,internshala,2023-06-16,
2207552,Backend Development,ZSS Technologies Private Limited,"₹ 20,000 /month",Few hours ago,internshala,2023-06-16,
2206686,Artificial Intelligence (AI),Hftsolution,"₹ 8,000 /month",Just now,internshala,2023-06-16,
2206103,Flutter App Development,Xero Apps Private Limited,"₹ 8,000 /month",Few hours ago,internshala,2023-06-16,
2208163,SQL Programming,StudyMonk,"₹ 10,000-15,000 /month",Today,internshala,2023-06-17,
2208680,Web Development,Wikasta Business And Technical Solutions Private Limited,"₹ 8,000 /month",Just now,internshala,2023-06-17,
2208694,Embedded Systems,StudyMonk,"₹ 10,000-15,000 /month",Few hours ago,internshala,2023-06-17,
2208588,Data Analysis,Alphanumeric Ideas Private Limited,"₹ 1,500-3,000 /month",Few hours ago,internshala,2023-06-17,
2213217,Python Development,Megaminds IT Services,"₹ 6,000-8,000 /month",Today,internshala,2023-06-23,
2210710,Python Content Writing,Chercher Tech,"₹ 5,000 /month",Today,internshala,2023-06-23,
2213584,Database Building/Management,Build Your English,"₹ 1,000 /month +  Incentives",Just now,internshala,2023-06-23,
2214381,Business Analytics,Viacom India LLP,"₹ 2,000-3,000 /month",1 day ago,internshala,2023-06-26,
2214693,Business Analytics,Conscript HR Advisors Private Limited,"₹ 1,000 /month",unknown,internshala,2023-06-27,
2210813,Analytics Programming & Development,Vislesha Private Limited,"₹ 20,000 /month",2 days ago,internshala,2023-06-27,
